武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（空军防御不用设计填0即可）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,血量,拦截（10阶段）,隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,飞行距离（km）,飞行高度（10阶段）,对地伤害（10阶段）,对地探测（10阶段）,对海伤害（10阶段）,对潜伤害（10阶段）
预警机,现代,250000,0.002,0.005,30,2625.000,0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000=0.0625,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,1,0.012,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,1500.0000=1875.0000=3750.0000=5625.0000=7500.0000=5625.0000=3750.0000=1875.0000=1500.0000=1500.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,9000.0000=11250.0000=22500.0000=33750.0000=45000.0000=33750.0000=22500.0000=11250.0000=9000.0000=9000.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,675.0000=843.7500=1687.5000=2531.2500=3375.0000=2531.2500=1687.5000=843.7500=675.0000=675.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,24,900,2625.000,225.0000=300.0000=450.0000=600.0000=750.0000=600.0000=450.0000=300.0000=225.0000=225.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,3000.0000=3750.0000=7500.0000=11250.0000=15000.0000=11250.0000=7500.0000=3750.0000=3000.0000=3000.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,675.0000=843.7500=1687.5000=2531.2500=3375.0000=2531.2500=1687.5000=843.7500=675.0000=675.0000,0=0=0=0=0=0=0=0=0=0
空中加油机,冷战,40000,0.002,0.005,30,1575.000,0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,116,1.392,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,405.0000=810.0000=1215.0000=1620.0000=2025.0000=1620.0000=1215.0000=810.0000=405.0000=405.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,24,850,1575.000,135.0000=180.0000=270.0000=360.0000=450.0000=360.0000=270.0000=180.0000=135.0000=135.0000,0=0=0=0=0=0=0=0=0=0,0.0900=0.1050=0.1200=0.1350=0.1500=0.1350=0.1200=0.1050=0.0900=0.0750,30,0=0=0=0=0=0=0=0=0=0,3000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,1800.0000=3600.0000=5400.0000=7200.0000=9000.0000=7200.0000=5400.0000=3600.0000=1800.0000=1800.0000,0=0=0=0=0=0=0=0=0=0,405.0000=810.0000=1215.0000=1620.0000=2025.0000=1620.0000=1215.0000=810.0000=405.0000=405.0000,0=0=0=0=0=0=0=0=0=0
空中加油机,现代,120000,0.002,0.005,30,2625.000,0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000=0.0625,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,48,0.576,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,675.0000=1350.0000=2025.0000=2700.0000=3375.0000=2700.0000=2025.0000=1350.0000=675.0000=675.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,24,900,2625.000,225.0000=300.0000=450.0000=600.0000=750.0000=600.0000=450.0000=300.0000=225.0000=225.0000,0=0=0=0=0=0=0=0=0=0,0.1500=0.1750=0.2000=0.2250=0.2500=0.2250=0.2000=0.1750=0.1500=0.1250,30,0=0=0=0=0=0=0=0=0=0,3000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,3000.0000=6000.0000=9000.0000=12000.0000=15000.0000=12000.0000=9000.0000=6000.0000=3000.0000=3000.0000,0=0=0=0=0=0=0=0=0=0,675.0000=1350.0000=2025.0000=2700.0000=3375.0000=2700.0000=2025.0000=1350.0000=675.0000=675.0000,0=0=0=0=0=0=0=0=0=0
电子战飞机,冷战,50000,0.002,0.005,0,0.000,0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,145,1.74,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,0,1000,0.000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.5400=0.6300=0.7200=0.8100=0.9000=0.8100=0.7200=0.6300=0.5400=0.4500,150,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0
电子战飞机,现代,180000,0.002,0.005,0,0.000,0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,72,0.864,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,0,1800,0.000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.9000=1.0500=1.2000=1.3500=1.5000=1.3500=1.2000=1.0500=0.9000=0.7500,150,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0
运输机,二战,3000,0.002,0.005,3,105.000,0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400=0.0250,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,6,0.072,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,27.0000=54.0000=81.0000=108.0000=135.0000=108.0000=81.0000=54.0000=27.0000=27.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,2,350,105.000,9.0000=12.0000=18.0000=24.0000=30.0000=24.0000=18.0000=12.0000=9.0000=9.0000,0=0=0=0=0=0=0=0=0=0,0.0600=0.0700=0.0800=0.0900=0.1000=0.0900=0.0800=0.0700=0.0600=0.0500,20,0=0=0=0=0=0=0=0=0=0,2000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,120.0000=240.0000=360.0000=480.0000=600.0000=480.0000=360.0000=240.0000=120.0000=120.0000,0=0=0=0=0=0=0=0=0=0,27.0000=54.0000=81.0000=108.0000=135.0000=108.0000=81.0000=54.0000=27.0000=27.0000,0=0=0=0=0=0=0=0=0=0
运输机,冷战,15000,0.002,0.005,3,157.500,0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,435,5.22,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,40.5000=81.0000=121.5000=162.0000=202.5000=162.0000=121.5000=81.0000=40.5000=40.5000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,2,700,157.500,13.5000=18.0000=27.0000=36.0000=45.0000=36.0000=27.0000=18.0000=13.5000=13.5000,0=0=0=0=0=0=0=0=0=0,0.0900=0.1050=0.1200=0.1350=0.1500=0.1350=0.1200=0.1050=0.0900=0.0750,20,0=0=0=0=0=0=0=0=0=0,2000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,180.0000=360.0000=540.0000=720.0000=900.0000=720.0000=540.0000=360.0000=180.0000=180.0000,0=0=0=0=0=0=0=0=0=0,40.5000=81.0000=121.5000=162.0000=202.5000=162.0000=121.5000=81.0000=40.5000=40.5000,0=0=0=0=0=0=0=0=0=0
运输机,现代,60000,0.002,0.005,3,262.500,0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000=0.0625,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,24,0.288,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,67.5000=135.0000=202.5000=270.0000=337.5000=270.0000=202.5000=135.0000=67.5000=67.5000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,2,850,262.500,22.5000=30.0000=45.0000=60.0000=75.0000=60.0000=45.0000=30.0000=22.5000=22.5000,0=0=0=0=0=0=0=0=0=0,0.1500=0.1750=0.2000=0.2250=0.2500=0.2250=0.2000=0.1750=0.1500=0.1250,20,0=0=0=0=0=0=0=0=0=0,2000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,300.0000=600.0000=900.0000=1200.0000=1500.0000=1200.0000=900.0000=600.0000=300.0000=300.0000,0=0=0=0=0=0=0=0=0=0,67.5000=135.0000=202.5000=270.0000=337.5000=270.0000=202.5000=135.0000=67.5000=67.5000,0=0=0=0=0=0=0=0=0=0
地对地导弹,冷战,5000,0.002,0.005,1,52.500,0.0300=0.0300=0.0300=0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,145,1.74,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.2400=0.2400=0.2400=0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800,30.0000=45.0000=60.0000=75.0000=90.0000=105.0000=120.0000=135.0000=150.0000=135.0000,0=0=0=0=0=0=0=0=0=0,0.2400=0.2400=0.2400=0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800,180.0000=270.0000=360.0000=450.0000=540.0000=630.0000=720.0000=810.0000=900.0000=810.0000,0=0=0=0=0=0=0=0=0=0,0.2400=0.2400=0.2400=0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800,13.5000=20.2500=27.0000=33.7500=40.5000=47.2500=54.0000=60.7500=67.5000=60.7500,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,0,2600,52.500,4.5000=4.5000=4.5000=4.5000=4.5000=6.0000=9.0000=12.0000=15.0000=12.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,600.0000=900.0000=1200.0000=1500.0000=1800.0000=2100.0000=2400.0000=2700.0000=3000.0000=2700.0000,0=0=0=0=0=0=0=0=0=0,13.5000=20.2500=27.0000=33.7500=40.5000=47.2500=54.0000=60.7500=67.5000=60.7500,0=0=0=0=0=0=0=0=0=0
地对地导弹,现代,15000,0.002,0.005,1,87.500,0.0500=0.0500=0.0500=0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,6,0.072,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.2400=0.2400=0.2400=0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800,50.0000=75.0000=100.0000=125.0000=150.0000=175.0000=200.0000=225.0000=250.0000=225.0000,0=0=0=0=0=0=0=0=0=0,0.2400=0.2400=0.2400=0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800,300.0000=450.0000=600.0000=750.0000=900.0000=1050.0000=1200.0000=1350.0000=1500.0000=1350.0000,0=0=0=0=0=0=0=0=0=0,0.2400=0.2400=0.2400=0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800,22.5000=33.7500=45.0000=56.2500=67.5000=78.7500=90.0000=101.2500=112.5000=101.2500,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,0,3400,87.500,7.5000=7.5000=7.5000=7.5000=7.5000=10.0000=15.0000=20.0000=25.0000=20.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,1000.0000=1500.0000=2000.0000=2500.0000=3000.0000=3500.0000=4000.0000=4500.0000=5000.0000=4500.0000,0=0=0=0=0=0=0=0=0=0,22.5000=33.7500=45.0000=56.2500=67.5000=78.7500=90.0000=101.2500=112.5000=101.2500,0=0=0=0=0=0=0=0=0=0
地对空导弹,冷战,8000,0.002,0.005,1,52.500,0.0300=0.0300=0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,232,2.784,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3200=0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800,30.0000=30.0000=37.5000=60.0000=82.5000=105.0000=127.5000=150.0000=127.5000=105.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800,180.0000=180.0000=225.0000=360.0000=495.0000=630.0000=765.0000=900.0000=765.0000=630.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800,13.5000=13.5000=16.8750=27.0000=37.1250=47.2500=57.3750=67.5000=57.3750=47.2500,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,0,2600,52.500,4.5000=4.5000=4.5000=4.5000=6.0000=9.0000=12.0000=15.0000=12.0000=9.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,60.0000=60.0000=75.0000=120.0000=165.0000=210.0000=255.0000=300.0000=255.0000=210.0000,0=0=0=0=0=0=0=0=0=0,13.5000=13.5000=16.8750=27.0000=37.1250=47.2500=57.3750=67.5000=57.3750=47.2500,0=0=0=0=0=0=0=0=0=0
地对空导弹,现代,100000,0.002,0.005,1,87.500,0.0500=0.0500=0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,4,0.048,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3200=0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800,50.0000=50.0000=62.5000=100.0000=137.5000=175.0000=212.5000=250.0000=212.5000=175.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800,300.0000=300.0000=375.0000=600.0000=825.0000=1050.0000=1275.0000=1500.0000=1275.0000=1050.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800,22.5000=22.5000=28.1250=45.0000=61.8750=78.7500=95.6250=112.5000=95.6250=78.7500,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,0,3200,87.500,7.5000=7.5000=7.5000=7.5000=10.0000=15.0000=20.0000=25.0000=20.0000=15.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,100.0000=100.0000=125.0000=200.0000=275.0000=350.0000=425.0000=500.0000=425.0000=350.0000,0=0=0=0=0=0=0=0=0=0,22.5000=22.5000=28.1250=45.0000=61.8750=78.7500=95.6250=112.5000=95.6250=78.7500,0=0=0=0=0=0=0=0=0=0
