地区ID,地区_中文,地区_英文,人口_manpower,地区类型,地区建筑槽,本地补给,不可通行,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,省份数,省份ID列表,胜利点城市数,胜利点合计,胜利点列表,资源,地区建筑,省份建筑,核心TAG,宣称TAG,其他历史字段,日期历史,来源州文件
159,伦巴第,Lombardy,5597704,metropolis,10,0.0,no,ITA,意大利王国,Kingdom of Italy,,10,607 773 969 3776 3780 6661 9584 11568 11587 11734,2,18,3780:米兰(15); 773:布雷西亚(3),,"{""air_base"": 10, ""arms_factory"": 7, ""industrial_complex"": 3, ""infrastructure"": 4}",,ITA;LBV,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 7, ""industrial_complex"": 4}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\159-Lombardy.txt
160,威尼托,Veneto,3963151,large_city,8,5.0,no,ITA,意大利王国,Kingdom of Italy,,8,603 628 3604 3657 6656 9582 9613 11584,3,14,11584:威尼斯(10); 3604:帕多瓦(3); 603:韦罗纳(1),"{""aluminium"": 11, ""steel"": 20}","{""air_base"": 3, ""arms_factory"": 2, ""dockyard"": 1, ""industrial_complex"": 4, ""infrastructure"": 3}","{""11584"": {""naval_base"": 6}}",ITA;LBV,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""dockyard"": 2, ""industrial_complex"": 5}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\160-Veneto.txt
161,艾米利亚-罗马涅,Emilia Romagna,3202401,large_city,8,0.0,no,ITA,意大利王国,Kingdom of Italy,,9,782 3773 3976 6606 6790 6793 6985 9752 9924,3,9,6606:博洛尼亚(5); 6793:费拉拉(3); 9752:帕尔马(1),"{""aluminium"": 9}","{""air_base"": 2, ""industrial_complex"": 1, ""infrastructure"": 4}","{""782"": {""naval_base"": 2}}",ITA;PAP,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\161-Emilia Romagna.txt
162,托斯卡纳,Tuscany,3084933,large_city,8,0.0,no,ITA,意大利王国,Kingdom of Italy,,11,910 1616 3885 6875 6946 6973 9750 9879 9907 11833 11889,4,6,9907:佛罗伦萨(3); 6973:拉斯佩齐亚(1); 11833:里窝那(1); 6946:卢卡(1),,"{""air_base"": 2, ""arms_factory"": 1, ""dockyard"": 3, ""industrial_complex"": 1, ""infrastructure"": 4}","{""11833"": {""naval_base"": 4}, ""6973"": {""naval_base"": 10}}",ITA;TOS,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 2, ""industrial_complex"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\162-Tuscany.txt
163,扎达尔,Zadar,18000,enclave,0,0.0,no,ITA,意大利王国,Kingdom of Italy,,1,3943,1,5,3943:扎达尔(5),,"{""infrastructure"": 3}","{""3943"": {""naval_base"": 1}}",YUG;CRO;LBV,,set_compliance;start_resistance,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\163-Dalmatia.txt
164,十二群岛,Dodecanese,120000,small_island,1,0.0,no,ITA,意大利王国,Kingdom of Italy,,2,7003 10007,1,1,10007:罗德岛(1),,"{""air_base"": 1, ""infrastructure"": 3}","{""10007"": {""naval_base"": 4}, ""7003"": {""naval_base"": 1}}",GRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\164-Dodecanese.txt
165,加泰罗尼亚,Catalonia,3036537,large_city,8,0.0,no,SPR,西班牙帝国,Spanish Empire,,14,854 872 897 3898 3899 6812 6836 6865 6927 6966 9764 9797 9824 11779,3,32,9764:巴塞罗那(30); 6966:托尔托萨(1); 6927:赫罗纳(1),"{""coal"": 2}","{""air_base"": 2, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 4}","{""9764"": {""naval_base"": 4}}",CAT;SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\165-Catalonia.txt
166,西阿拉贡,Western Aragón,668365,town,4,13.0,no,SPR,西班牙帝国,Spanish Empire,,11,813 948 3816 6878 6901 7213 9812 9840 9842 11737 11838,3,5,3816:萨拉戈萨(3); 9840:韦斯卡(1); 7213:特鲁埃尔(1),"{""coal"": 3, ""steel"": 15.0}","{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}",,SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\166-Western Aragon.txt
167,巴伦西亚,Valencia,1979294,large_town,5,0.0,no,SPR,西班牙帝国,Spanish Empire,,10,962 3799 3873 4098 6817 6856 6906 6959 9889 9896,2,13,6906:巴伦西亚(10); 4098:阿利坎特(3),,"{""air_base"": 3, ""dockyard"": 1, ""infrastructure"": 3}","{""4098"": {""naval_base"": 2}, ""6906"": {""naval_base"": 3}}",SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\167-Valencia.txt
168,穆尔西亚,Murcia,1007605,town,4,0.0,no,SPR,西班牙帝国,Spanish Empire,,11,832 1093 3835 4195 7111 9903 10024 10109 11807 11812 11884,1,3,10024:穆尔西亚(3),,"{""air_base"": 2, ""dockyard"": 1, ""infrastructure"": 3}","{""10024"": {""naval_base"": 8}}",SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\168-Murcia.txt
169,塞维利亚,Sevilla,1746650,large_town,5,7.0,no,SPR,西班牙帝国,Spanish Empire,,14,1048 1178 3940 4080 4182 7098 7183 9815 9891 10094 11749 12070 13228 13231,2,13,1048:加的斯(3); 7183:塞维利亚(10),,"{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""1048"": {""naval_base"": 5}}",SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\169-Sevilla.txt
170,埃斯特雷马杜拉,Extremadura,1417652,town,4,0.0,no,SPR,西班牙帝国,Spanish Empire,,17,809 931 985 3930 6866 6902 6948 6954 9839 9877 9917 9925 11756 11780 11798 11851 13230,1,1,6902:巴达霍斯(1),"{""tungsten"": 4.0}","{""industrial_complex"": 1, ""infrastructure"": 3}",,SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\170-Extremadura.txt
171,加利西亚,Galicia,2295085,city,6,0.0,no,SPR,西班牙帝国,Spanish Empire,,13,729 758 3761 6734 6764 6955 9686 9689 11675 11677 11692 11710 11840,2,8,758:拉科鲁尼亚(5); 6734:维戈(3),,"{""air_base"": 2, ""arms_factory"": 1, ""dockyard"": 2, ""infrastructure"": 3}","{""758"": {""naval_base"": 6}}",GLC;SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\171-Galicia.txt
172,纳瓦拉,Navarra,359880,pastoral,1,4.0,no,SPR,西班牙帝国,Spanish Empire,,5,932 3737 3931 3933 9857,1,1,3933:潘普洛纳(1),,"{""infrastructure"": 3}",,NAV;SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\172-Navarre.txt
173,格拉纳达,Granada,1662292,city,6,6.0,no,SPR,西班牙帝国,Spanish Empire,,11,747 1176 4065 7068 7153 7196 9979 10009 10063 11956 12038,3,9,9979:马拉加(5); 12038:阿尔梅里亚(1); 1176:格拉纳达(3),"{""steel"": 8.0}","{""air_base"": 4, ""industrial_complex"": 2, ""infrastructure"": 3}","{""12038"": {""naval_base"": 1}, ""9979"": {""naval_base"": 2}}",SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\173-Granada.txt
174,莱昂,León,749041,rural,2,12.0,no,SPR,西班牙帝国,Spanish Empire,,13,726 918 920 3725 3727 3918 3920 6746 6907 9699 11843 13219 13232,1,1,726:莱昂(1),"{""coal"": 3, ""tungsten"": 10.0}","{""industrial_complex"": 1, ""infrastructure"": 3}",,SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\174-Leon.txt
175,雷阿尔城,Ciudad Real,526903,rural,2,11.0,no,SPR,西班牙帝国,Spanish Empire,,10,3953 6800 6832 6896 9778 9828 9881 11863 12081 13229,1,1,6832:雷阿尔城(1),,"{""industrial_complex"": 1, ""infrastructure"": 3}",,SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\175-Ciudad Real.txt
176,布尔戈斯,Burgos,739760,rural,2,9.0,no,SPR,西班牙帝国,Spanish Empire,,13,857 884 885 3859 3887 3902 6903 9870 11766 11852 11854 13220 13226,1,3,885:布尔戈斯(3),,"{""industrial_complex"": 1, ""infrastructure"": 3}",,SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\176-Burgos.txt
177,巴利阿里群岛,Islas Baleares,365500,rural,2,0.0,no,SPR,西班牙帝国,Spanish Empire,,3,7114 9793 9845,1,1,9793:马略卡岛帕尔马(1),,"{""air_base"": 1, ""infrastructure"": 3}","{""7114"": {""naval_base"": 1}, ""9793"": {""naval_base"": 2}}",SPR,CAT,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\177-Balearic Islands.txt
178,加那利群岛,Islas Canarias,561347,small_island,1,0.0,no,SPR,西班牙帝国,Spanish Empire,,1,13071,1,1,13071:圣克鲁兹-德特内里费(1),,"{""infrastructure"": 2}","{""13071"": {""naval_base"": 1}}",SPR,,strategic_province_location,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\178-Canary islands.txt
179,贝雅,Beja,777895,rural,2,0.0,no,POR,葡萄牙,Portugal,,9,970 980 3790 3866 6880 6884 6933 9765 9819,4,4,3790:波尔蒂芒(1); 6880:法鲁(1); 6933:贝雅(1); 970:塞图巴尔(1),,"{""industrial_complex"": 3, ""infrastructure"": 3}","{""3790"": {""naval_base"": 2}}",POR,,add_extra_state_shared_building_slots,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\179-Beja.txt
180,波尔图,Porto,1904600,large_town,5,0.0,no,POR,葡萄牙,Portugal,,7,724 877 3892 6921 6941 9817 11673,2,15,9817:波尔图(10); 11673:布拉加(5),"{""coal"": 2}","{""dockyard"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}","{""9817"": {""naval_base"": 3}}",POR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\180-Porto.txt
181,瓜尔达,Guarda,964700,town,4,0.0,no,POR,葡萄牙,Portugal,,8,845 889 938 3969 6818 6996 9787 11885,2,2,9787:维塞乌(1); 6996:瓜尔达(1),"{""coal"": 1, ""tungsten"": 95}","{""industrial_complex"": 2, ""infrastructure"": 2}",,POR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\181-Guarda.txt
182,克里特,Crete,387900,town,4,0.0,no,GRE,希腊王国,Kingdom of Greece,,4,1164 4170 9940 12058,2,8,9940:伊拉克利翁(5); 12058:哈尼亚(3),,"{""air_base"": 2, ""infrastructure"": 2}","{""12058"": {""naval_base"": 1}, ""9940"": {""naval_base"": 3}}",GRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\182-Crete.txt
183,塞浦路斯,Cyprus,347959,rural,2,0.0,no,ENG,大不列颠,Great Britain,,2,7193 11984,2,8,11984:尼科西亚(5); 7193:利马索尔(3),"{""chromium"": 3}","{""air_base"": 1, ""infrastructure"": 2}","{""7193"": {""naval_base"": 2}}",CYP,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\183-Cyprus.txt
184,色雷斯,Thrace,382500,rural,2,9.0,no,GRE,希腊王国,Kingdom of Greece,,4,9791 9930 11774 11905,1,1,11905:亚历山德鲁波利斯(1),"{""chromium"": 11.0}","{""arms_factory"": 1, ""infrastructure"": 1}",,GRE,BUL,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\184-Thrace.txt
185,伊庇鲁斯,Epirus,760900,rural,2,9.0,no,GRE,希腊王国,Kingdom of Greece,,12,841 1106 1205 3914 3980 9805 9837 9916 10203 11786 11895 12001,3,5,10203:科孚(1); 3914:约阿尼纳(3); 1205:阿格里尼奥(1),"{""chromium"": 14, ""steel"": 14}","{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 2}","{""9805"": {""naval_base"": 1}}",GRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\185-Epirus.txt
186,伯罗奔尼撒,Peloponnese,945000,town,4,0.0,no,GRE,希腊王国,Kingdom of Greece,,7,1173 4078 4178 4193 7096 7211 11965,3,7,7211:帕特拉斯(5); 7096:阿尔戈斯(1); 11965:卡拉马塔(1),,"{""arms_factory"": 1, ""infrastructure"": 2}","{""11965"": {""naval_base"": 1}, ""7211"": {""naval_base"": 2}}",GRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\186-Peloponnese.txt
187,爱琴群岛,Aegean Islands,322600,small_island,1,9.0,no,GRE,希腊王国,Kingdom of Greece,,3,3401 6550 8435,2,2,6550:萨摩斯(1); 8435:米蒂利尼(1),"{""chromium"": 7}","{""dockyard"": 1, ""infrastructure"": 1}","{""6550"": {""naval_base"": 1}, ""8435"": {""naval_base"": 1}}",GRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\187-Aegean Islands.txt
188,梅梅尔,Memel,150000,rural,2,0.0,no,LIT,立陶宛,Lithuania,,1,3288,1,3,3288:梅梅尔(3),,"{""industrial_complex"": 1, ""infrastructure"": 3}","{""3288"": {""naval_base"": 1}}",LIT,PRE,,"{""1939.3.22"": {""claims"": [], ""controller"": ""GER"", ""cores"": [""GER""], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\188-Memel.txt
189,萨莫吉希亚,Žemaitija,697100,town,4,0.0,no,LIT,立陶宛,Lithuania,,6,3337 3354 6314 9483 9499 9731,2,4,9483:希奥利艾(3); 6314:帕兰加(1),"{""steel"": 2.0}","{""infrastructure"": 3}","{""6314"": {""naval_base"": 1}}",LIT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\189-Kaunas.txt
190,库尔泽梅,Kurzeme,315500,rural,2,5.0,no,LAT,拉脱维亚,Latvia,,6,3194 3296 3319 6322 9262 11246,2,4,9262:利耶帕亚(3); 3296:文茨皮尔斯(1),,"{""dockyard"": 1, ""infrastructure"": 3}","{""9262"": {""naval_base"": 1}}",LAT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\190-Kurzeme.txt
191,塔尔图,Tartu,225840,rural,2,0.0,no,EST,爱沙尼亚,Estonia,,5,592 6178 6408 9221 9485,2,2,9221:塔尔图(1); 592:沃鲁(1),,"{""infrastructure"": 3}",,EST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\191-Tartu.txt
192,敖德萨,Odessa,1286238,city,6,6.0,no,SOV,俄罗斯,Russia,,6,3575 3738 9698 9714 11670 11703,1,10,11670:敖德萨(10),,"{""air_base"": 6, ""industrial_complex"": 1, ""infrastructure"": 3}","{""11670"": {""coastal_bunker"": 1, ""naval_base"": 3}}",SOV;UKR,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\192-Odessa.txt
193,切尔尼戈夫,Chernigov,1373637,city,6,0.0,no,SOV,俄罗斯,Russia,,14,238 546 3480 3542 3568 3584 6458 6508 6532 6589 9437 9506 11425 11489,1,3,3568:切尔尼戈夫(3),,"{""air_base"": 8, ""infrastructure"": 3}",,SOV;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\193-Kiev.txt
194,莫济里,Mozyr,934632,rural,2,0.0,no,SOV,俄罗斯,Russia,,10,215 3203 3293 3507 6232 6319 6556 9249 9554 11453,1,1,6232:莫济里(1),,"{""air_base"": 3, ""infrastructure"": 2}",,SOV;BLR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\194-Pinsk Marches.txt
195,列宁格勒,Leningrad,3750158,metropolis,10,11.0,no,SOV,俄罗斯,Russia,,5,79 149 3151 6174 11068,1,30,3151:列宁格勒(30),,"{""air_base"": 10, ""arms_factory"": 6, ""dockyard"": 3, ""industrial_complex"": 1, ""infrastructure"": 4}","{""3151"": {""coastal_bunker"": 5, ""naval_base"": 10}}",SOV,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 7}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\195-Leningrad Area.txt
196,赫尔松,Kherson,728363,rural,2,0.0,no,SOV,俄罗斯,Russia,,8,568 721 737 767 3573 6771 9712 11715,1,1,721:赫尔松(1),"{""chromium"": 15}","{""air_base"": 3, ""infrastructure"": 3}",,SOV;UKR;CRI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\196-Kherson.txt
197,尼古拉耶夫,Mykolaiv,896311,rural,2,5.0,no,SOV,俄罗斯,Russia,,8,409 574 3403 3755 6597 9573 11546 11683,1,3,11683:尼古拉耶夫(3),,"{""dockyard"": 1, ""infrastructure"": 3}",,SOV;UKR,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""dockyard"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\197-Mykolaiv.txt
198,文尼察,Vinnytsia,1893391,large_town,5,0.0,no,SOV,俄罗斯,Russia,,6,476 6455 6480 9423 9435 9481,1,3,476:文尼察(3),,"{""air_base"": 3, ""infrastructure"": 3}",,SOV;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\198-Vinnytsia.txt
199,赫梅利尼茨基,Proskuriv,1424022,town,4,4.0,no,SOV,俄罗斯,Russia,,6,462 3430 3457 3511 6429 6509,1,3,3457:普罗斯库里夫(3),,"{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}",,SOV;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\199-Khmelnytskyi.txt
200,扎波罗热,Zaporozhe,1294082,town,4,0.0,no,SOV,俄罗斯,Russia,,9,429 588 3399 3767 6596 9571 9729 11405 11700,1,1,11405:扎波罗热(1),,"{""air_base"": 3, ""infrastructure"": 3}","{""11405"": {""dam"": 1}}",SOV;UKR,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 1}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\200-Rivne.txt
201,日托米尔,Zhytomyr,1417834,town,4,7.0,no,SOV,俄罗斯,Russia,,12,441 550 3470 3570 6593 9466 9493 9533 11464 11477 11490 11514,1,3,6593:日托米尔(3),,"{""air_base"": 3, ""infrastructure"": 3}",,SOV;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\201-Zhytomyr.txt
202,基辅,Kiev,2495352,city,6,0.0,no,SOV,俄罗斯,Russia,,11,489 504 525 582 3494 3543 6497 9465 9543 9568 11557,1,25,525:基辅(25),"{""aluminium"": 7, ""oil"": 8}","{""air_base"": 8, ""arms_factory"": 2, ""fuel_silo"": 1, ""industrial_complex"": 3, ""infrastructure"": 4}",,SOV;UKR,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 3, ""industrial_complex"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\202-Western Kiev.txt
203,切尔卡瑟,Cherkasy,2405190,large_town,5,0.0,no,SOV,俄罗斯,Russia,,14,434 458 488 3452 3468 6451 6478 9451 9491 11409 11424 11438 11454 11530,1,5,488:切尔卡瑟(5),,"{""industrial_complex"": 1, ""infrastructure"": 3}",,SOV;UKR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\203-Cherkasy.txt
204,博布鲁伊斯克,Bobruysk,1041084,rural,2,0.0,no,SOV,俄罗斯,Russia,,8,304 331 360 386 3350 3759 6373 11313,1,3,3350:博布鲁伊斯克(3),,"{""infrastructure"": 3}",,SOV;BLR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\204-Brest.txt
205,卡卢加,Kaluga,1121004,town,4,10.0,no,SOV,俄罗斯,Russia,,16,246 274 352 382 3263 3308 3345 3377 6252 6365 9261 9301 11235 11284 11300 11369,1,1,382:卡卢加(1),,"{""infrastructure"": 3}",,SOV,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\205-Hrodna.txt
206,明斯克,Minsk,1163163,city,6,5.0,no,SOV,俄罗斯,Russia,,10,216 294 342 3267 3378 6292 9289 11216 11322 11370,2,25,11370:明斯克(20); 9289:莫吉廖夫(5),,"{""air_base"": 8, ""industrial_complex"": 2, ""infrastructure"": 3}",,SOV;BLR,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\206-Minsk.txt
207,维捷布斯克,Vitebsk,1217854,town,4,5.0,no,SOV,俄罗斯,Russia,,11,323 3219 3331 6220 6249 6326 6371 9241 9323 11220 11241,1,5,11241:维捷布斯克(5),,"{""air_base"": 5, ""infrastructure"": 3}",,SOV;BLR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\207-Viciebsk.txt
208,卢加,Luga,341819,rural,2,0.0,no,SOV,俄罗斯,Russia,,12,104 126 181 3120 6139 6197 9097 9098 11032 11080 11139 11186,1,1,9098:卢加(1),,"{""air_base"": 3, ""infrastructure"": 3}",,SOV,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\208-Pskov.txt
209,普斯科夫,Pskov,639587,town,4,0.0,no,SOV,俄罗斯,Russia,,12,95 415 3053 3310 6324 9120 9319 9408 11097 11202 11304 11392,1,3,11202:普斯科夫(3),,"{""air_base"": 4, ""infrastructure"": 3}",,SOV,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\209-Smolensk.txt
210,涅韦尔,Nevel,830133,rural,2,0.0,no,SOV,俄罗斯,Russia,,13,207 248 354 387 3333 6242 6293 9254 9331 9353 9386 11234 11259,1,1,11234:大卢基(1),,"{""infrastructure"": 3}",,SOV,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\210-Bryansk.txt
211,布尔加斯,Burgas,1358394,town,4,4.0,no,BUL,保加利亚,Bulgaria,,7,649 6967 9769 9783 9888 9902 9919,5,13,9783:瓦尔纳(5); 9902:布尔加斯(3); 6967:斯利文(3); 9888:扬博尔(1); 9769:舒门(1),,"{""industrial_complex"": 2, ""infrastructure"": 2}","{""9783"": {""naval_base"": 3}, ""9902"": {""naval_base"": 1}}",BUL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\211-Burgas.txt
212,普罗夫迪夫,Plovdiv,1814936,large_town,5,5.0,no,BUL,保加利亚,Bulgaria,,11,878 893 3937 6814 6857 6923 6952 6982 9818 9862 11813,3,14,6923:普罗夫迪夫(10); 6814:旧扎戈拉(3); 9862:哈斯科沃(1),"{""chromium"": 1, ""coal"": 2}","{""air_base"": 2, ""arms_factory"": 3, ""industrial_complex"": 2, ""infrastructure"": 2}",,BUL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\212-Plovdiv.txt
213,摩尔曼斯克,Murmansk,275751,rural,2,3.0,no,SOV,俄罗斯,Russia,,33,15 74 98 116 142 178 3012 3121 3134 3170 6117 6140 6157 6181 6194 9039 9059 9115 9123 9162 9165 9179 9201 9203 9215 9217 11031 11088 11117 11128 11140 11183 11196,2,6,3134:摩尔曼斯克(5); 6181:坎达拉克沙(1),"{""chromium"": 12, ""steel"": 14}","{""air_base"": 2, ""infrastructure"": 1}","{""3134"": {""coastal_bunker"": 1, ""naval_base"": 4}}",SOV;SMI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\213-Murmansk.txt
214,阿尔汉格尔斯克,Arkhangelsk,577985,town,4,0.0,no,SOV,俄罗斯,Russia,,15,140 180 312 3075 3080 3092 3130 3168 3338 6102 6105 9041 9248 11038 11171,1,5,3338:阿尔汉格尔斯克(5),,"{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 1}","{""3338"": {""naval_base"": 3}}",SOV,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\214-Arkhangelsk.txt
215,奥涅加,Onega,214858,rural,2,0.0,no,SOV,俄罗斯,Russia,,37,36 80 86 94 134 155 157 170 176 2998 3008 3067 3071 3078 3189 6021 6029 6090 6096 6098 6159 6175 9045 9055 9074 9119 9195 9198 11045 11054 11094 11096 11146 11175 11181 11212 13130,0,0,,"{""steel"": 30}","{""infrastructure"": 2}",,SOV;KAR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\215-Eastern Karelia.txt
216,奥洛涅茨,Olonets,229564,rural,2,0.0,no,SOV,俄罗斯,Russia,,22,40 90 92 2356 2994 3033 3084 3144 6057 6070 6094 6106 6172 9078 9118 9231 11092 11150 11153 11159 13194 13198,1,1,11159:彼得罗扎沃茨克(1),,"{""air_base"": 3, ""infrastructure"": 2}","{""11153"": {""dam"": 1}}",SOV;KAR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\216-Below Zero.txt
217,斯大林格勒,Stalingrad,1135070,city,6,7.0,no,SOV,俄罗斯,Russia,,15,498 520 3503 3529 3555 6503 6527 6541 9459 9474 9504 9530 11447 11474 11484,1,30,3529:斯大林格勒(30),,"{""air_base"": 1, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 4}",,SOV,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\217-Stalingrad Area.txt
218,罗斯托夫,Rostov,1501076,city,6,3.0,no,SOV,俄罗斯,Russia,,8,585 6445 9417 9430 11418 11434 11450 11559,1,15,9417:罗斯托夫(15),,"{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""9417"": {""naval_base"": 5}}",SOV,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\218-Rostov Area.txt
